Comment,Designator,Footprint,LCSC
3k,"R1,R11,R13,R8",R_0603_1608Metric,C137732
OPA188xxDBV,"U1,U3",TSOT-23-5,C140312
0.1u,"C10,C11,C2,C3,C31,C32,C39,C4,C47,C6,C8,C9",C_0603_1608Metric,C1591
10p,C12,C_0603_1608Metric,C1634
24AA025UID,U6,SOIC-8_3.9x4.9mm_P1.27mm,C194184
OPA1641,U5,SOIC-8_3.9x4.9mm_P1.27mm,C2057597
AD795,U2,SOIC-8_3.9x4.9mm_P1.27mm,C207538
DAC101C081CIMK_NOPB,IC1,TSOT-23-6,C2861970
LP2981A-33DBVT,U9,SOT-23-5,C2872227
HDMI_A,J4,CONN_10029449-111RLF_HDMI_A,C427307
MCP4017T-103E_LT,U4,SOT-363,C478095
Conn_Coaxial,J5,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,C591725
10k,RV1,Potentiometer_Bourns_3269W_Vertical,C840716
27.4k,R7,R_0603_1608Metric,
33.2k,R6,R_0603_1608Metric,
60.4k,R5,R_0603_1608Metric,
DNI,R4,R_0603_1608Metric,
10k,R3,R_0603_1608Metric,
30k,R2,R_0603_1608Metric,
DNI,H3,MountingHole_2.2mm_M2_Pad,
DNI,H7,MountingHole_2.2mm_M2,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Horizontal,
4.7u,C5,C_0603_1608Metric,
DNI,C1,C_0603_1608Metric,
RCT-0C,TP2,Test_Point_D1.02mm,
Ferrite_Bead,FB1,C_1206_3216Metric,
0.01u,C19,C_0603_1608Metric,
1,R66,R_0603_1608Metric,
DNI,TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,
DNI,H1,MountingHole_2.2mm_M2,
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Horizontal,
33,R18,R_0603_1608Metric,
DNI,R12,R_0603_1608Metric,
10k,R9,R_0603_1608Metric,
27.4k,R10,R_0603_1608Metric,
0,R71,R_0603_1608Metric,
4p,C7,C_0603_1608Metric,
