Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, R12, R4",0603,4,DNI,
"C10, C11, C2, C3, C31, C32, C39, C4, C47, C6, C8, C9",0603,12,0.1u,
C12,0603,1,10p,
C19,0603,1,0.01u,
C5,0603,1,4.7u,
C7,0603,1,4p,
FB1,1206,1,Ferrite_Bead,
"H1, H7",MountingHole_2.2mm_M2,2,DNI,
H3,MountingHole_2.2mm_M2_Pad,1,DNI,
IC1,TSOT-23-6,1,DAC101C081CIMK_NOPB,
J1,BU-SMA-G,1,Conn_Coaxial,
J2,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J4,CONN_10029449-111RLF_HDMI_A,1,HDMI_A,
J5,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,Conn_Coaxial,
"R1, R16",0603,2,3k,
"R10, R7",0603,2,27.4k,
"R11, R13, R8",0603,3,3.01k,
"R14, R18",0603,2,33,
"R15, R2",0603,2,30k,
"R3, R9",0603,2,10k,
R5,0603,1,60.4k,
R6,0603,1,33.2k,
R66,0603,1,1,
R71,0603,1,0,
RV1,Potentiometer_Bourns_3269W_Vertical,1,10k,
"TP1, TP2",Test_Point_D1.02mm,2,RCT-0C,
TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,DNI,
"U1, U3",TSOT-23-5,2,OPA188xxDBV,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ADA4000-1,
U4,SOT-363,1,MCP4017T-103E_LT,MCP4017T-103E/LT
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA1641,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,24AA025UID,
U9,SOT-23-5,1,LP2981A-33DBVT,
